zd,zz
粘液性囊腺瘤,囊肿:1 肾区叩痛:1 胃炎:1 左室舒张功能欠佳:1 结肠多发息肉:1 老年:1 轻压痛:1 脾周少量积液:1 子宫切除术:1 肝硬化:1 心动过缓:1 女性:1 
膝关节十字韧带劳损,男性:1 活动受限:1 活动轻度受限:1 膝关节:1 疼痛:1 肿胀:1 
尺骨桡骨远端骨折,活动受限:3 骨折:3 疼痛:2 压痛明显:2 男性:1 颜面部肿胀:1 左腕部肿痛:1 骨擦感:1 渗血:1 车祸:1 明确外伤史:1 瘀斑:1 皮肤挫伤:1 腕肿胀、畸形:1 高处坠落:1 昏迷:1 摔伤:1 女性:1 肿胀:1 
巩膜穿通伤,:1 
高血压病（很高危,精神软:1 头晕:1 湿罗音:1 起搏器:1 黑朦:1 血压高:1 女性:1 
 持久的妄想性障碍 ,胡语:1 感冒:1 情感高涨:1 精神障碍:1 质性精神障碍:1 焦虑:1 肿块:1 嫉妒妄想:1 抑郁:1 自知力无:1 女性:1 右肺下叶前基底段微小结节灶:1 猜疑:1 眠差:1 高血压史:1 高血压:1 少眠:1 抑郁症:1 乙肝:1 高脂血症:1 肿瘤:1 社会功能受损:1 意识障碍:1 肾功能异常:1 不适:1 吵架:1 精神分裂症:1 高血压病:1 幻觉:1 妄想:1 妄想性障碍:1 
脾功能亢进,脾大:2 男性:1 回声结节:1 囊肿:1 有核细胞增生活跃:1 胆囊炎:1 增生:1 脾肿大:1 疼痛:1 酸痛:1 贫血:1 肾结石:1 肝右叶囊肿:1 胆囊息肉:1 门静脉高压:1 淋巴瘤:1 
高尿酸血症,高血压:1 镜下红细胞:1 疼痛:1 慢性病容:1 
阴道前壁脱垂,淋巴结肿大:1 老年:1 肿物:1 浮肿:1 绝经:1 肝炎:1 胃溃疡:1 子宫前位:1 
颈部损伤,男性:1 外伤:1 肿胀:1 肾区叩痛:1 渗血:1 
寰枢椎半脱位,男性:1 精神软:1 活动受限:1 颈部疼痛:1 轻压痛:1 
皮脂囊肿,男性:1 肿块:1 
红皮病性银屑病,男性:2 加重:2 皮疹:2 浮肿:2 青年:1 双下肢水肿:1 精神软:1 老年:1 肿胀:1 
乙结肠癌,男性:1 结肠炎:1 肿块:1 腹痛:1 结肠多发息肉:1 老年:1 肿瘤:1 
热射病和日射病,意识不清:4 肺呼吸音粗:3 男性:3 抽搐:3 高热:3 昏迷:2 呕吐:2 咳痰:1 意识丧失:1 两肺纹理增多:1 耳聋:1 双下肢水肿:1 心音低:1 咳嗽:1 骨质疏松:1 肢体抽搐:1 右肺渗出灶:1 乏力:1 老年:1 女性:1 心律不齐:1 呼吸急促:1 前列腺病史:1 增生:1 湿罗音:1 高血压:1 抑郁症:1 恶心:1 心脏病:1 发热:1 两肺散在渗出:1 帕金森:1 寒战:1 腹泻:1 意识模糊:1 酗酒史:1 浮肿:1 畏寒:1 
胸椎骨折(T12,昏迷:1 活动受限:1 骨折:1 外伤:1 疼痛:1 
 液气胸 ,活动受限:1 低热:1 阻塞性肺炎:1 眠差:1 咯血:1 盗汗:1 抗感染治疗:1 中毒:1 胸闷:1 急性支气管炎:1 咳嗽:1 咳痰:1 畏寒发热:1 胸痛:1 心悸:1 痰中带血:1 消瘦:1 男性:1 支气管肺癌:1 气胸:1 心慌:1 肺结核:1 感染:1 湿罗音:1 化脓:1 病理性杂音:1 发热:1 胸闷气急:1 端坐呼吸:1 
多发性硬化,女性:3 恶心:2 头晕:2 麻木:2 精神软:1 外伤:1 耳塞:1 不适:1 呕吐:1 高血压:1 糖尿病:1 乏力:1 背部疼痛:1 视物模糊:1 
先天性心包囊肿,口干:1 多饮:1 肿瘤:1 消瘦:1 湿罗音:1 
丙型肝炎后肝硬化失代偿期,脾切除:1 双肾小结石:1 胆囊炎:1 胆囊结石:1 女性:1 高血压:1 副脾:1 肝硬化:1 乏力:1 肝左叶囊肿:1 丙肝:1 手术史:1 房室传导阻滞:1 脾已切除:1 
孕2产1孕41+1周LOA平产活婴,胎盘:2 停经:2 孕妇:2 脐带绕颈:1 浮肿:1 腹痛:1 胎儿:1 不规则宫缩:1 
子宫多发肌瘤,月经量多:1 子宫多发肌瘤:1 子宫内膜单纯性增生:1 肥大:1 增大如孕:1 盆腔包块:1 平滑肌瘤:1 
宫颈上皮内瘤变III级,破碎子宫内膜:1 宫颈病变:1 息肉:1 增生:1 上皮内瘤变:1 宫颈轻度糜烂:1 破碎:1 累:1 鳞状上皮高级别病变:1 粘膜慢性炎伴湿疣样变:1 子宫前位:1 
双侧附睾炎,双侧附睾尾部肿大:1 囊肿:1 腰痛:1 腰酸:1 触痛:1 疼痛:1 畏寒发热:1 刺痛:1 血尿:1 肿胀:1 
左卵巢畸胎瘤,左附件区增厚:1 慢性输卵管炎:1 子宫前位:1 剖宫产:1 
左侧肩周炎,活动受限:1 肢体活动不利:1 疼痛:1 强直性脊柱炎:1 脑梗死:1 颈动脉斑块:1 
妊娠状态,胎盘:5 停经:5 孕妇:3 未及宫缩:2 不规则宫缩:2 隐痛:1 腰酸:1 血尿:1 腹痛:1 子宫多发肌瘤:1 子宫肌瘤:1 脐带绕颈一圈:1 剖宫产:1 
鼻腔恶性肿瘤,增生:1 肿块:1 出血:1 鼻塞:1 双外耳道干燥:1 血迹:1 咽部:1 
颈椎病,男性:1 活动受限:1 恶心:1 外伤:1 头痛:1 视物旋转:1 心慌:1 无意识:1 椎间盘突出:1 头晕:1 活动障碍:1 呕吐:1 疼痛:1 高血压:1 糖尿病:1 无力:1 胸闷:1 抽搐:1 
膝关节僵硬,摔伤:1 骨折:1 活动障碍:1 膝关节:1 肿胀:1 
恶性肿瘤放射治疗后随诊检查,肿块:1 静脉化疗:1 女性:1 导管内癌:1 右侧乳腺上象限浸润性导管癌:1 
原发性高血压病 很高危,血压高:1 女性:1 胸闷气急:1 
主动脉瓣关闭不全,男性:3 肺呼吸音粗:2 发热:2 咯血:1 双下肢轻度水肿:1 头昏:1 晕厥:1 胸闷:1 咳嗽:1 咳痰:1 畏寒发热:1 加重:1 糖尿病:1 头痛:1 感染:1 高血压:1 腹泻:1 隐痛:1 支气管病变:1 冠心病:1 腹痛:1 早搏:1 浮肿:1 高血压病:1 神志不清:1 
溃疡性结肠炎首先考虑,腹泻:1 
先天性硬脑膜动静脉瘘,男性:1 手术治疗:1 高血压病:1 左侧颈内动脉起始部重度狭窄:1 
输尿管恶性肿瘤,肝脏多发囊肿:1 腰背部疼痛:1 前列腺钙化:1 肾积水:1 加重:1 酸痛:1 老年:1 浮肿:1 肾区叩痛:1 女性:1 
后天性踇外翻,压痛明显:1 女性:1 
左侧外耳胆脂瘤,加重:1 咽部:1 肿胀:1 
巨幼细胞性贫血,贫血:3 男性:2 头昏乏力:2 精神软:1 食欲减退:1 活动障碍:1 高血压:1 脑梗塞:1 乏力:1 巩膜轻度黄染:1 左侧肢体:1 浮肿:1 
幽门溃疡伴出血,柏油样便:1 贫血:1 出血:1 胃炎:1 
右侧急性附睾炎,囊肿:1 腰痛:1 腰酸:1 触痛:1 疼痛:1 畏寒发热:1 酸痛:1 刺痛:1 血尿:1 肿胀:1 
孕1产1孕37+6周LOA平产活婴,胎盘:1 停经:1 孕妇:1 阴道流液:1 
腹部损伤,男性:1 活动受限:1 骨折:1 囊肿:1 外伤:1 上腹压痛:1 腰椎:1 疼痛:1 腰部外伤疼痛:1 皮肤挫伤:1 紧张:1 肾区叩痛:1 椎体:1 发热:1 肿胀:1 
肾上腺皮质功能亢进危象,男性:1 头痛:1 胸腔积液:1 心包少量积液:1 感染:1 右肺上叶少量条片状阴影:1 肺呼吸音粗:1 乏力:1 纳差:1 嗜睡:1 停药:1 发热:1 老年:1 
嵌顿性腹股沟斜疝,右侧腹股沟包块:1 精神软:1 高血压:1 青光眼手术:1 全腹部压痛:1 紧张:1 红肿:1 
颅内静脉窦血栓形成,男性:1 精神软:1 头痛:1 头晕:1 加重:1 血栓:1 
心肌炎,女性:2 浮肿:2 呼吸困难:1 慢支:1 肺呼吸音粗:1 左肺下叶小结节:1 胸闷:1 咳嗽:1 咳痰:1 糖尿病:1 肺气肿征象:1 心悸:1 老年:1 慢性支气管炎:1 左肺上叶:1 头晕:1 感染:1 湿罗音:1 高血压:1 抑郁症:1 发热:1 寒战:1 畏寒:1 
鼻咽恶性肿瘤肝转移（非角化性癌 ，cT4N2M1，IV期,高血压病:1 淋巴结肿大:1 肿瘤:1 鼻咽癌:1 痰中带血:1 
锁骨骨折(左,活动受限:1 骨折:1 局部压痛:1 骨擦感:1 渗血:1 车祸:1 疼痛:1 受伤史:1 肿胀:1 
嗜酸性粒细胞增多症,青年:1 消瘦:1 骨折:1 男性:1 乏力:1 
孕2产1孕39+周LOA平产活婴,胎盘:2 停经:2 胎儿:1 腹痛:1 甲亢:1 停药:1 孕妇:1 脐带绕颈一圈:1 
右眼挫伤,疼痛:1 视物模糊:1 击伤:1 
孕1产1孕39+5周LOA平产活婴,脐带绕颈:1 胎盘:1 腹痛:1 胎儿:1 停经:1 孕妇:1 
高血压3级,高血压心脏病:1 男性:1 增生:1 幽门螺杆菌阳性:1 胸腔积液:1 腹胀:1 胆囊息肉:1 感染:1 少尿:1 高血压:1 双下肢水肿:1 乏力:1 纳差:1 心功能Ⅱ级:1 浮肿:1 高血压病:1 血压高:1 
腹壁挫伤,男性:1 
睾丸囊肿,阴囊皮下浑浊液区:1 左侧睾丸肿大:1 脓肿:1 
范科尼综合征,男性:1 酸痛:1 肢体抽搐:1 湿罗音:1 
硬膜下出血,男性:1 精神软:1 骨折:1 血迹:1 外伤:1 头痛:1 出血:1 累:1 右侧额部少量急性硬膜外血肿:1 软组织挫裂伤:1 肿胀:1 
后天性肘内翻,麻木:1 刺痛:1 
 适应障碍 ,打人:1 性格内向:1 情绪不稳:1 懒散:1 受损:1 精神障碍:1 少语:1 质性精神障碍:1 发脾气:1 自知力无:1 接触被动:1 男性:1 开心:1 情感低落:1 压力大:1 感染:1 少眠:1 抑郁症:1 少动:1 慢性起病:1 意志减退:1 毁物:1 躁狂发作:1 病情反复:1 
阻生齿,触痛:1 破溃:1 咽部:1 
孕3产3孕41+4周LOA平产活婴,未及宫缩:1 停经:1 孕妇:1 胎盘:1 
脑恶性肿瘤术后,精神软:1 血糖偏高:1 头痛:1 无意识:1 心肺听诊异常:1 高血压:1 糖尿病:1 肢体抽搐:1 胀痛:1 陈旧手术疤痕:1 肿瘤:1 神志模糊:1 
心跳呼吸骤停，心肺复苏后，缺血缺氧性脑病,痔疮:1 肺炎:1 胸腔积液:1 感染:1 青霉素过敏史:1 脑血管晚期效应:1 口唇苍白:1 肺部感染:1 脑出血:1 左侧肢体乏力:1 高血压病:1 气促:1 
孕3产0孕31+周LOA活胎,胎盘:1 停经:1 孕妇:1 女性:1 隐痛:1 
眼睑皮炎,男性:1 老年:1 肿胀:1 
中枢性睡眠呼吸暂停综合征,打鼾:2 男性:1 肥大:1 腹膨隆:1 会厌水肿:1 加重:1 憋气:1 肥胖:1 
鼻腔恶性淋巴瘤,淋巴瘤:1 咽部:1 
肛管恶性肿瘤,男性:1 肺呼吸音粗:1 盆腔少量积液:1 心律不齐:1 疼痛:1 
下肢皮肤感染,红肿:3 破溃:3 疼痛:2 肿胀:2 男性:1 挫伤重:1 外伤:1 局部压痛:1 触痛:1 出血:1 红肿热痛:1 皮温高:1 痛苦:1 高血压病:1 老年:1 破裂:1 
阴道积血,手术治疗:1 外伤:1 抽搐:1 癫痫:1 出血:1 脑出血:1 破裂:1 神志不清:1 
窒息,贫血:2 对光反射迟钝:2 抑郁发作:2 湿罗音:2 慢性病容:2 肺部感染:2 意识模糊:2 呼吸衰竭:2 心动过速:2 肺呼吸音粗:2 消瘦:2 咳嗽:1 心跳骤停:1 突发窒息:1 
直肠息肉摘除术后,男性:1 直肠息肉:1 紧张:1 
原发性高血压 2级 很高危组,男性:1 胸闷气急:1 血压升高:1 
前列腺癌伴多发骨转移,精神软:1 支气管病变:1 房颤:1 完全性右束支传导阻滞:1 心音强弱不等:1 感染:1 心律绝对不齐:1 ST-T改变:1 腰背痛:1 慢性阻塞性肺疾病:1 加重:1 耳聋:1 糖尿病:1 肺气肿:1 全腹及反跳痛:1 咽略红:1 肺呼吸音粗:1 肿瘤:1 脑萎缩:1 前列腺症:1 增生:1 
左耳恶性肿瘤放疗后,男性:1 精神软:1 肝炎:1 肝硬化:1 疼痛:1 呃逆:1 食管静脉曲张:1 加重:1 听力明显下降:1 流脓:1 略充血:1 病理性杂音:1 纳差:1 肺呼吸音粗:1 内稍高回声:1 慢性肝病:1 咽部:1 
 非器质性失眠症 ,眠差:5 焦虑:5 担心:5 社会功能受损:5 失眠:5 精神病性症状:4 精神障碍:4 加重:4 入睡困难:4 精神异常:4 女性:4 高血压:4 幻觉:4 妄想:4 绪低落及高涨:3 肝炎:3 糖尿病:3 病情加重:3 无力:3 躯体疾病所致失眠:3 睡眠差:3 不适:3 早醒:3 躯体疾病:3 睡眠不好:3 睡眠障碍:3 甲亢:2 无意识:2 痛苦:2 多想:2 不眠:2 手术史:2 冠心病:2 高血压病:2 乏力:1 胃炎:1 情感障碍:1 性格内向:1 头昏:1 剖腹产:1 抑郁障碍:1 受损:1 头痛:1 质性精神障碍:1 眠浅易醒:1 血糖不稳定:1 急躁:1 膝关节:1 抑郁:1 睡不着:1 血糖偏高:1 男性:1 注意力不集中:1 外伤史:1 强迫:1 头晕:1 乙肝:1 活动少:1 躯体症状:1 胆囊结石:1 肾囊肿:1 行胆囊切除术:1 强迫障碍:1 
 酒精所致精神障碍 ,酒精所致精神和行为障碍:1 有机磷农药中毒:1 受损:1 饮酒:1 幻听:1 质性精神障碍:1 发脾气:1 咳嗽:1 咳痰:1 自语自笑:1 意志力减退:1 饮酒史:1 接触被动:1 误服农药:1 男性:1 嗜酒:1 不眠:1 哭泣:1 行为乱:1 冲动:1 肺部感染:1 精神分裂症:1 妄想:1 
食管癌晚期（多发 鳞癌,精神软:1 高血压:1 脉细滑:1 进行性吞咽困难:1 右肺结节:1 剑突下压痛:1 慢性病容:1 苔黄腻:1 腹痛:1 浮肿:1 高血压病:1 肺呼吸音粗:1 食管癌:1 女性:1 
胸12腰1段压缩性骨折,活动受限:1 骨折:1 外伤:1 腰背部疼痛:1 舌质淡:1 轻压痛:1 压痛明显:1 肿胀:1 腰椎:1 脉弦:1 
孕1产1孕40+周枕左前位平产活婴,羊水偏少:1 胎盘:1 腹痛:1 胎儿:1 停经:1 孕妇:1 
妊娠糖尿病母亲婴儿综合征,湿罗音:4 腹膨隆:3 孕妇:2 血糖偏高:2 女性:2 胎儿脐动脉血流正常:1 餐后血糖偏高:1 血糖升高:1 胎儿:1 
食管胃底静脉曲张伴出血,男性:1 肝癌:1 慢性肝病:1 静脉曲张:1 黑便:1 
左下肺占位：肺癌首先考虑,肺占位:1 慢支:1 腹膨隆:1 静脉曲张:1 肺气肿征象:1 胸膜增厚:1 肺大泡:1 肿瘤:1 
右侧胫骨下端骨髓炎,男性:1 右小腿肿:1 粥样斑块形成:1 高血压病:1 压痛明显:1 红肿:1 
贲门溃疡,腹胀:1 胃炎:1 紧张:1 
慢性肾功能不全CKD3-4期,男性:1 精神软:1 全腹及反跳痛:1 浮肿:1 
十二指肠球部溃疡伴大出血,精神软:1 贫血:1 腹胀:1 剑突下压痛:1 黑便:1 脉沉细:1 病理性杂音:1 胃病:1 肺呼吸音粗:1 女性:1 咽部:1 
上颌窦骨折,外伤:1 肿胀:1 出血:1 渗血:1 
孕4产1孕40+6周LOT难产活婴,手术治疗:1 未及宫缩:1 胎盘:1 宫外孕:1 停经:1 孕妇:1 
双侧结节性甲状腺肿,肿块:2 结节性甲状腺肿:1 甲状腺结节:1 甲状腺内多发结节:1 女性:1 甲状腺腺瘤:1 
多发性肋骨骨折,保守治疗:1 骨折:1 胸痛:1 痛苦:1 急性貌:1 胸痛不适:1 摔伤:1 
胃多发息肉 EMR术,腹胀:2 剑突下压痛:2 脉浮数:2 浮肿:2 女性:2 胃炎:1 息肉:1 高血压病:1 
胃-食管反流病,男性:3 青年:1 胆囊炎:1 胆囊结石:1 不适:1 浮肿:1 体重下降:1 心浊音界左大:1 加重:1 胸闷胸痛:1 胃窦粘膜慢性中度浅表性炎:1 T波改变:1 紧张:1 手术史:1 反酸:1 胃炎:1 
十二指肠球部溃疡伴出血 轻度贫血,贫血:1 紧张:1 消化道出血:1 增生:1 肝囊肿:1 呕吐:1 黑便:1 冠心病:1 高血压:1 隐血:1 胃窦粘膜慢性中度浅表性炎:1 T波改变:1 早搏:1 心动过速:1 囊肿:1 多发结石:1 便血:1 
孕1产1孕40+6周LOA平产活婴,阴道见红:1 脐带绕颈:1 胎盘:1 胎儿:1 停经:1 不规则宫缩:1 
传染性单核细胞增多症,皮疹:9 肺呼吸音粗:8 咽充血:8 发热:8 红肿:6 轻压痛:5 浮肿:5 淋巴结肿大:3 脓性分泌物:3 出血:2 触痛:1 打鼾:1 咽部:1 肺炎:1 咳嗽:1 肿块:1 鼻塞:1 咽痛:1 肿胀:1 急性起病:1 湿罗音:1 吸凹:1 病理性杂音:1 脾肿大:1 颈部包块:1 
甲状腺功能异常,精神软:1 疱疹:1 湿罗音:1 头昏:1 病理性杂音:1 颈部疼痛:1 破溃:1 
胰腺恶性肿瘤术后,胰腺癌术后:1 感染:1 畏寒发热:1 胰十二指肠切除术:1 高血压:1 乏力:1 停药:1 
孕4产2孕38+2周LOA难产活婴,胎盘:1 糖尿病:1 阴道流液:1 停经:1 孕妇:1 不规则宫缩:1 剖宫产:1 
多囊肾 慢性肾脏病5期,心影增大:1 贫血:1 左前臂动静脉内瘘成形术:1 心包少量积液:1 慢性病容:1 高血压:1 病理性杂音:1 浮肿:1 女性:1 
幽门口溃疡,男性:1 胃炎:1 不适:1 进食:1 出血:1 老年:1 急性病程:1 
孕3产2孕39+周LOA难产活婴,剖宫产术史:1 胎盘:1 浮肿:1 停经:1 孕妇:1 陈旧性手术疤痕:1 
孕3产2孕40周LOA平产活婴,胎盘:1 停经:1 孕妇:1 下腹坠胀:1 阴道见红:1 
恶性淋巴瘤,男性:3 乏力:2 老年:2 淋巴瘤:2 心悸:1 贫血:1 胆囊炎:1 胆囊结石:1 肿块:1 肾囊肿:1 活动度差:1 高血压:1 血栓:1 淋巴结肿大:1 浮肿:1 破溃:1 颈部肿块:1 
继发性血小板减少,触痛:1 加重:1 皮疹:1 瘀斑:1 病理性杂音:1 肺呼吸音粗:1 
左下肺癌放化疗术后,男性:1 咳痰:1 咳嗽:1 慢支:1 肺气肿:1 乏力:1 老年:1 高血压病:1 
慢性心力衰竭,精神软:1 贫血:1 乏力:1 轻压痛:1 气急:1 女性:1 胸闷:1 
高血压3级，极高危组,精神软:1 乏力:1 病理性杂音:1 血压升高:1 
贫血：缺铁性贫血？,精神软:1 女性:1 剑突下压痛:1 脉浮数:1 肝区叩击痛:1 乏力:1 病理性杂音:1 剖腹产:1 肺呼吸音粗:1 手术史:1 发热:1 咽充血:1 
右上肺炎,男性:2 咳痰:2 咳嗽:2 肺呼吸音粗:2 精神软:1 舌质淡:1 反应迟钝:1 哮鸣音:1 全腹及反跳痛:1 咯血:1 颈静脉略充盈:1 不能言语:1 脑梗塞病史:1 浮肿:1 高血压病:1 言语不清:1 发热:1 慢性阻塞性肺病:1 右侧肢体偏瘫:1 脉弦:1 
孕3产2孕37+6周LOA平产活婴,胎盘:1 腹痛:1 孕妇:1 不规则宫缩:1 停经:1 
脂肪肝伴肝功能不全,恶心:1 乏力:1 呕吐:1 
放射性脑病,焦虑:1 轻度异常:1 鼻咽癌:1 抑郁:1 跌倒:1 低钾血症:1 
小肠肠梗阻,腹痛:1 肝区叩击痛:1 
恙虫病,精神软:1 头痛:1 畏寒发热:1 湿罗音:1 皮疹:1 病理性杂音:1 
肝周脓肿,男性:3 肿块:3 红肿:2 血迹:1 脓肿:1 不适:1 疼痛:1 高血压:1 淋巴结肿大:1 病理性杂音:1 痛苦:1 轻压痛:1 浮肿:1 肾区叩痛:1 压痛明显:1 心脏病:1 肿胀:1 
反射性晕厥,男性:2 行走不稳:2 晕厥:2 两侧大脑半球白质区少许缺血灶:1 脑改变:1 椎间盘突出:1 高血压:1 老年:1 焦虑障碍:1 
高血压病 1级,男性:1 心浊音界左大:1 糖尿病:1 脑梗塞:1 浮肿:1 血压高:1 
侵袭性葡萄胎,手术治疗:2 囊肿:2 胆囊炎:2 胆囊结石:2 增生:2 感染:2 肿物:2 引产一次:2 右肺多发结节:2 心肺听诊异常:1 淋巴结肿大:1 盆腔包块:1 
特发性震颤,高血压病:1 女性:1 加重:1 
高血压3级  极高危组,完全性右束支传导阻滞:1 活动障碍:1 血压升高:1 浮肿:1 脑出血:1 女性:1 
宫颈恶性肿瘤术后放化疗后,淋巴结肿大:2 女性:2 陈旧性手术疤痕:2 发热:1 肿瘤:1 
混合痔急性发作,肿物:2 肿胀:2 男性:1 肿块:1 触痛:1 疼痛:1 加重:1 血栓:1 外痔:1 静脉曲张:1 红肿:1 女性:1 
皮肤痈,男性:1 肿块:1 背部肿痛:1 糖尿病:1 全腹及反跳痛:1 压痛明显:1 红肿:1 
孕2产3孕39+周LOA平产活婴,胎盘:1 阴道流液:1 孕妇:1 不规则宫缩:1 停经:1 
高血压病 极高危,男性:2 糖尿病:2 浮肿:2 血压高:2 双侧胸膜改变:1 咳嗽:1 感染:1 头晕:1 支气管病变:1 肺气肿:1 肺呼吸音粗:1 气促:1 
胆道占位首先考虑,精神软:1 上腹压痛:1 胆囊结石:1 不适:1 肝区叩击痛:1 高血压:1 纳差:1 女性:1 
双侧慢性硬膜下血肿,头痛:2 精神软:1 硬膜下血肿:1 外伤:1 视物旋转:1 不适:1 无意识:1 口齿不清:1 畏寒发热:1 加重:1 车祸:1 行走不稳:1 胀痛:1 短暂性脑缺血发作:1 头部外伤:1 抽搐:1 
胃多发溃疡（活动期,心肌病:1 恶心:1 紧张:1 肝区叩击痛:1 增生:1 
孕2产1孕41+1周LOT难产活婴（核实孕周,胎盘:1 隐痛:1 孕妇:1 停经:1 
急性上呼吸道感染（疱疹性咽峡炎,呛咳:1 肺炎:1 疱疹:1 肺结核:1 流涎:1 肺呼吸音粗:1 红肿:1 发热:1 
结肠黑变病,男性:1 结肠息肉:1 息肉摘除术:1 胆囊结石:1 心肺听诊异常:1 腹胀:1 结肠多发性息肉:1 紧张:1 胆囊切除术:1 隐痛:1 排便困难:1 女性:1 
睡眠呼吸暂停,糖尿病:4 打鼾:3 男性:3 浮肿:3 乏力:2 嗜睡:2 高血压:2 不适:2 高血压病:2 肥胖:2 夜尿增多:1 肺结核:1 晕厥:1 淋巴结肿大:1 左室舒张功能减退:1 黑朦:1 双下肢乏力:1 胸闷:1 两肺干湿性啰音:1 左室舒张功能欠佳:1 畏寒发热:1 加重:1 胸痛:1 心悸:1 老年:1 甲状腺乳头状癌:1 女性:1 头痛:1 头晕:1 手术史:1 异常Q波:1 隐痛:1 两肺纹理增多:1 冠心病:1 吸烟:1 
电解质紊乱,男性:2 精神软:2 恶心:1 睡眠差:1 脉弱:1 双肺呼吸音低:1 剑突下压痛:1 哮鸣音:1 浮肿:1 肝区叩击痛:1 冠心病:1 活动受限:1 乏力:1 吸烟:1 长期便秘:1 饮酒:1 慢性病容:1 心界左下扩大:1 头昏乏力:1 抗血小板聚集:1 
腰突症,椎间盘突出:2 腰腿痛:2 腰椎:2 脉弦:2 男性:1 血糖偏高:1 胃炎病史:1 不适:1 肝区叩击痛:1 乏力:1 甲亢:1 停药:1 肝掌:1 麻木:1 
突发性耳聋（左,视物旋转:2 头晕:2 累:2 耳鸣:2 发热:2 畏寒:2 恶心:1 听力下降:1 头痛:1 活动障碍:1 眩晕:1 呕吐:1 加重:1 听力减退:1 麻木:1 
左侧硬膜下血肿,精神软:1 硬膜下血肿:1 恶心:1 外伤:1 头痛:1 头晕:1 出血:1 呕吐:1 冠心病:1 蛛血:1 昏迷:1 蛛网膜下腔出血:1 脑挫伤:1 头部外伤:1 抽搐:1 
药物性水肿,精神软:1 高血压:1 糖尿病:1 病理性杂音:1 浮肿:1 肺呼吸音粗:1 女性:1 
继发性肺结核 双肺 涂（+初治,男性:1 咳嗽:1 咳痰:1 感染:1 淋巴结肿大:1 肺呼吸音粗:1 发热:1 面色红:1 
孕3产1孕35+周RSA活胎,保守治疗:1 异位妊娠:1 腹胀:1 出血:1 胎盘:1 停经:1 不规则宫缩:1 
肺部结节,男性:1 淋巴结肿大:1 消瘦:1 面色红:1 咳嗽:1 
孕1产0孕39+6周LOA活胎待产（核实孕周,未及宫缩:1 胎盘:1 腹痛:1 浮肿:1 停经:1 孕妇:1 
宫颈上皮内肿瘤I级,宫颈病变:2 肥大:2 出血:1 宫颈轻度糜烂:1 子宫前位:1 破碎:1 黏膜慢性炎:1 粘膜慢性炎伴湿疣样变:1 退变:1 
慢性肾小球肾炎,浮肿:4 尿检异常:3 肾囊肿:2 高血压:2 隐血:2 精神软:1 前列腺增大:1 胆囊炎:1 胆囊结石:1 增生:1 红肿热痛:1 糖尿病:1 囊肿:1 慢性肾病:1 心律失常:1 脂肪肝:1 女性:1 痛风:1 头部外伤:1 
卵巢囊肿 ,回声结节:1 囊肿:1 月经不规则:1 肥大:1 触痛:1 取环:1 右侧卵巢囊性结构:1 子宫肌瘤:1 
肩锁关节脱位,明确外伤史:3 活动受限:2 外伤:2 骨擦感:2 疼痛:2 瘀斑:2 压痛明显:2 肿胀:2 男性:1 车祸:1 手术瘢痕:1 
双相情感障碍，目前为轻躁狂发作,接触合作:1 不悦:1 不适:1 精神病性症状:1 眠差:1 心烦:1 慢性病容:1 易激惹:1 情绪低落:1 消极:1 女性:1 
体表包块,肿块:1 甲状腺肿大:1 女性:1 口角歪斜:1 
甲状腺恶性肿瘤个人史,女性:3 心肺听诊阴性:3 浮肿:3 甲状腺结节:2 结节性甲状腺肿:2 肿块:2 老年:2 甲状腺乳头状癌:2 男性:1 甲状腺癌:1 活动度差:1 淋巴结肿大:1 右侧乳腺结节:1 心包积液:1 累:1 感染:1 颈部结节:1 肿瘤:1 颈部肿块:1 胸腔积液:1 甲状腺术后:1 左侧颈部低:1 轻度脱髓鞘改变:1 纤维瘤:1 精神软:1 轻压痛:1 
右外踝开放性骨折,骨折:1 渗血:1 车祸:1 出血:1 擦挫伤:1 疼痛:1 压痛明显:1 肿胀:1 
左下肢大隐静脉曲张,男性:2 脱屑:2 脉涩:2 病理性杂音:1 
孕1产0孕32周LOA活胎,停经:1 腹胀:1 胎儿:1 
孕2产3孕39+1周ROA/LOA平产活婴,脐带绕颈:1 停经:1 孕妇:1 胎盘:1 胎儿:1 
食管疾患,腹胀:1 胃炎:1 息肉:1 不适:1 
孕6产2孕11+周终止妊娠,肥大:1 增大如孕:1 宫颈中度糜烂:1 停经:1 女性:1 子宫前位:1 
胫腓骨下端骨折,骨折:2 活动受限:1 外伤:1 骨擦感:1 右踝肿痛:1 明确外伤史:1 疼痛:1 手术瘢痕:1 肿胀:1 
内痔,高血压:1 女性:1 腹泻:1 乏力:1 
孕2产2孕40+6周LOA平产活婴,胎盘:1 停经:1 孕妇:1 不规则宫缩:1 腹胀:1 
小腿挫伤,压痛明显:1 左小腿肿痛:1 外伤:1 肿胀:1 
外阴疖肿,阴道流血:1 脉细数:1 肿块:1 出血:1 疼痛:1 尿频尿痛:1 畏寒发热:1 活动度差:1 边界欠清:1 
心律失常（室性、房性早搏,心慌:1 室性连发:1 面色少华:1 全腹及反跳痛:1 加重:1 早搏:1 女性:1 胸闷:1 
乳腺癌切除术后伴化疗后,精神软:1 抓痕:1 皮肤瘙痒:1 皮疹:1 乏力:1 轻度压痛:1 浮肿:1 女性:1 
